State/UT,2022 - CR,2022 - CCS,2022 - CON,2022 - PAR,2022 - PCS,2022 - PCV
Andhra Pradesh,25503,24456,414,30846,53444,716
Arunachal Pradesh,335,268,29,319,333,29
Assam,14148,12108,512,19789,13968,548
Bihar,20222,16246,1059,21320,20947,1333
Chhattisgarh,8693,7258,3214,10567,10112,4714
Goa,273,207,16,192,322,18
Gujarat,7731,6757,228,12188,14439,396
Haryana,16743,9347,591,13682,13008,743
Himachal Pradesh,1551,1171,141,1003,1854,163
Jharkhand,7678,6598,1208,8296,8398,1300
Karnataka,17813,13612,540,27753,27531,627
Kerala,15213,15782,803,16325,22058,970
Madhya Pradesh,32765,26512,6155,24709,45815,8200
Maharashtra,45331,33821,1486,40934,63167,1776
Manipur,248,121,22,183,128,22
Meghalaya,690,525,69,410,550,74
Mizoram,147,145,87,155,152,89
Nagaland,49,47,9,58,50,9
Odisha,23648,18772,671,9240,23795,763
Punjab,5572,3905,442,6399,5425,624
Rajasthan,45058,24578,4211,29938,33277,5932
Sikkim,179,138,39,161,141,40
Tamil Nadu,9207,7882,882,14040,11212,1019
Telangana,22066,20963,609,16139,36111,736
Tripura,752,680,66,537,1296,86
Uttar Pradesh,65743,50616,13099,101754,134087,21729
Uttarakhand,4337,2995,163,2688,4570,187
West Bengal,34738,33729,786,23705,57413,907
Andaman and Nicobar Islands,178,168,17,167,227,18
Chandigarh,325,202,45,314,302,55
Dadra and Nagar Haveli and Daman and Diu,126,93,8,152,142,14
Delhi,14247,8595,442,15112,13074,604
Jammu and Kashmir,3716,2705,68,6309,6147,155
Ladakh,15,15,1,17,17,1
Lakshadweep,16,13,2,12,13,2
Puducherry,200,153,2,332,260,3